Recommended Item,Support,Confidence,Lift,Items (#1)
paper towels,0.055311677,0.649484536,1.79119343,"eggs, ice cream, pasta"
pasta,0.055311677,0.642857143,1.73100304,"paper towels, eggs, ice cream"
cheeses,0.050921861,0.674418605,1.726208518,"bagels, cereals, sandwich bags"
juice,0.050043898,0.640449438,1.700400723,"yogurt, toilet paper, aluminum foil"
mixes,0.050921861,0.630434783,1.677722471,"yogurt, poultry, aluminum foil"
sandwich bags,0.050921861,0.610526316,1.659640749,"cheeses, bagels, cereals"
dinner rolls,0.053555751,0.642105263,1.650920756,"spaghetti sauce, poultry, laundry detergent"
dinner rolls,0.051799824,0.641304348,1.648861517,"spaghetti sauce, poultry, ice cream"
juice,0.050043898,0.619565217,1.644952873,"yogurt, poultry, aluminum foil"
poultry,0.051799824,0.686046512,1.627931202,"dinner rolls, spaghetti sauce, ice cream"
eggs,0.051799824,0.634408602,1.627458103,"paper towels, dinner rolls, pasta"
pasta,0.051799824,0.602040816,1.621098085,"paper towels, eggs, dinner rolls"
dinner rolls,0.050921861,0.630434783,1.620914712,"spaghetti sauce, poultry, cereals"
eggs,0.055311677,0.63,1.616148649,"paper towels, ice cream, pasta"
coffee/tea,0.050043898,0.612903226,1.615964755,"yogurt, cheeses, cereals"
dinner rolls,0.051799824,0.627659574,1.613779357,"spaghetti sauce, poultry, juice"
eggs,0.051799824,0.627659574,1.610144719,"dinner rolls, poultry, soda"
milk,0.050921861,0.604166667,1.589251347,"poultry, laundry detergent, cereals"
ice cream,0.055311677,0.623762376,1.564901644,"paper towels, eggs, pasta"
cereals,0.050921861,0.617021277,1.55828655,"cheeses, bagels, sandwich bags"
poultry,0.053555751,0.655913978,1.556429211,"dinner rolls, spaghetti sauce, laundry detergent"
poultry,0.050921861,0.637362637,1.512408425,"dinner rolls, spaghetti sauce, cereals"
poultry,0.051799824,0.602040816,1.428592687,"dinner rolls, spaghetti sauce, juice"
poultry,0.050043898,0.6,1.42375,"dishwashing liquid/detergent, laundry detergent, mixes"
